Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Kern,35 - 39 years,54,06/10/2021
Death,2021,Place of Residence,Kern,40 - 44 years,91,06/10/2021
Death,2021,Place of Residence,Kern,45 - 49 years,99,06/10/2021
Death,2021,Place of Residence,Kern,50 - 54 years,137,06/10/2021
Death,2021,Place of Residence,Kern,55 - 59 years,181,06/10/2021
Death,2021,Place of Residence,Kern,60 - 64 years,303,06/10/2021
Death,2021,Place of Residence,Kern,65 - 69 years,298,06/10/2021
Death,2021,Place of Residence,Kern,70 - 74 years,346,06/10/2021
Death,2021,Place of Residence,Kern,75 - 79 years,327,06/10/2021
Death,2021,Place of Residence,Kern,80 - 84 years,313,06/10/2021
Death,2021,Place of Residence,Kern,85 - 89 years,285,06/10/2021
Death,2021,Place of Residence,Kern,90 - 94 years,203,06/10/2021
Death,2021,Place of Residence,Kern,95 - 99 years,90,06/10/2021
Death,2021,Place of Residence,Kern,100 years and over,25,06/10/2021
Death,2021,Place of Residence,Kings,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Kings,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,Kings,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Kings,10 - 14 years,<11,06/10/2021
Death,2021,Place of Residence,Kings,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Kings,20 - 24 years,0,06/10/2021
Death,2021,Place of Residence,Kings,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Kings,30 - 34 years,11,06/10/2021
Death,2021,Place of Residence,Kings,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Kings,40 - 44 years,14,06/10/2021
Death,2021,Place of Residence,Kings,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Kings,50 - 54 years,30,06/10/2021
Death,2021,Place of Residence,Kings,55 - 59 years,35,06/10/2021
Death,2021,Place of Residence,Kings,60 - 64 years,42,06/10/2021
Death,2021,Place of Residence,Kings,65 - 69 years,47,06/10/2021
Death,2021,Place of Residence,Kings,70 - 74 years,47,06/10/2021
Death,2021,Place of Residence,Kings,75 - 79 years,73,06/10/2021
Death,2021,Place of Residence,Kings,80 - 84 years,41,06/10/2021
Death,2021,Place of Residence,Kings,85 - 89 years,50,06/10/2021
Death,2021,Place of Residence,Kings,90 - 94 years,24,06/10/2021
Death,2021,Place of Residence,Kings,95 - 99 years,14,06/10/2021
Death,2021,Place of Residence,Kings,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Lake,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Lake,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Lake,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Lake,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Lake,15 - 19 years,<11,06/10/2021
