Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Amador,55 - 59 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,Married (including SRDP),20,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,Married (including SRDP),14,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,Divorced,<11,06/10/2021
