Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Sex,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Contra Costa,60 - 64 years,Female,94,06/10/2021
Death,2021,Place of Residence,Contra Costa,60 - 64 years,Male,140,06/10/2021
Death,2021,Place of Residence,Contra Costa,65 - 69 years,Female,97,06/10/2021
Death,2021,Place of Residence,Contra Costa,65 - 69 years,Male,146,06/10/2021
Death,2021,Place of Residence,Contra Costa,70 - 74 years,Female,148,06/10/2021
Death,2021,Place of Residence,Contra Costa,70 - 74 years,Male,172,06/10/2021
Death,2021,Place of Residence,Contra Costa,75 - 79 years,Female,169,06/10/2021
Death,2021,Place of Residence,Contra Costa,75 - 79 years,Male,199,06/10/2021
Death,2021,Place of Residence,Contra Costa,80 - 84 years,Female,183,06/10/2021
Death,2021,Place of Residence,Contra Costa,80 - 84 years,Male,212,06/10/2021
Death,2021,Place of Residence,Contra Costa,85 - 89 years,Female,242,06/10/2021
Death,2021,Place of Residence,Contra Costa,85 - 89 years,Male,208,06/10/2021
Death,2021,Place of Residence,Contra Costa,90 - 94 years,Female,228,06/10/2021
Death,2021,Place of Residence,Contra Costa,90 - 94 years,Male,148,06/10/2021
Death,2021,Place of Residence,Contra Costa,95 - 99 years,Female,156,06/10/2021
Death,2021,Place of Residence,Contra Costa,95 - 99 years,Male,73,06/10/2021
Death,2021,Place of Residence,Contra Costa,100 years and over,Female,42,06/10/2021
Death,2021,Place of Residence,Contra Costa,100 years and over,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,Less than 1 year,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,Less than 1 year,Male,0,06/10/2021
Death,2021,Place of Residence,Del Norte,1 - 4 years,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,1 - 4 years,Male,0,06/10/2021
Death,2021,Place of Residence,Del Norte,5 - 9 years,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,5 - 9 years,Male,0,06/10/2021
Death,2021,Place of Residence,Del Norte,10 - 14 years,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,10 - 14 years,Male,0,06/10/2021
Death,2021,Place of Residence,Del Norte,15 - 19 years,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,15 - 19 years,Male,0,06/10/2021
Death,2021,Place of Residence,Del Norte,20 - 24 years,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,20 - 24 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,25 - 29 years,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,25 - 29 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,30 - 34 years,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,30 - 34 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,35 - 39 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,35 - 39 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,40 - 44 years,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,40 - 44 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,45 - 49 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,45 - 49 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,50 - 54 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,50 - 54 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,55 - 59 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,55 - 59 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,60 - 64 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,60 - 64 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,65 - 69 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,65 - 69 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,70 - 74 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,70 - 74 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,75 - 79 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,75 - 79 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,80 - 84 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,80 - 84 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,85 - 89 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,85 - 89 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,90 - 94 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,90 - 94 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,95 - 99 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Del Norte,95 - 99 years,Male,0,06/10/2021
Death,2021,Place of Residence,Del Norte,100 years and over,Female,0,06/10/2021
Death,2021,Place of Residence,Del Norte,100 years and over,Male,0,06/10/2021
Death,2021,Place of Residence,El Dorado,Less than 1 year,Female,0,06/10/2021
Death,2021,Place of Residence,El Dorado,Less than 1 year,Male,<11,06/10/2021
