County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
Colusa,30 - 34 years,8,0,0,20,30,20,0,0,0,18,0,0,0,0,18,18,30,0,6,12,30,6,0,6,30,30,0,0,rural,0,1,0
Colusa,35 - 39 years,9,0,0,30,30,30,0,6,0,24,0,12,0,0,18,12,30,0,6,24,24,0,0,24,24,30,0,0,rural,0,1,0
Colusa,40 - 44 years,10,0,0,20,30,40,0,0,6,36,0,0,0,0,12,24,24,0,6,24,24,0,0,18,30,36,0,0,rural,0,1,0
Colusa,45 - 49 years,11,20,0,20,20,50,0,0,0,18,0,6,0,0,36,18,36,0,18,30,24,0,12,30,30,36,0,0,rural,0,1,0
Colusa,50 - 54 years,12,40,0,60,60,30,0,0,6,36,0,0,0,0,36,18,36,0,36,36,36,0,12,36,36,41,0,6,rural,0,1,0
Colusa,55 - 59 years,13,0,20,60,60,60,10,6,18,36,0,0,0,6,36,36,42,6,36,30,30,0,12,36,36,44,6,24,rural,0,1,0
Colusa,60 - 64 years,14,50,40,50,50,50,10,6,6,30,6,18,0,6,36,30,36,6,36,36,24,6,18,36,36,43,6,24,rural,0,1,0
Colusa,65 - 69 years,15,30,20,60,60,60,10,18,0,36,0,18,0,6,50,36,60,6,36,36,30,0,36,41,47,65,0,30,rural,0,1,0
Colusa,70 - 74 years,16,60,30,60,50,60,10,12,0,30,0,12,6,0,78,30,87,18,30,36,18,6,36,41,58,65,18,36,rural,0,1,0
Colusa,75 - 79 years,17,40,30,61,60,60,20,24,12,36,6,6,0,0,64,36,78,12,36,51,30,0,36,42,52,66,12,36,rural,0,1,0
Colusa,80 - 84 years,18,60,30,70,60,60,0,6,6,36,0,0,0,0,90,30,95,6,30,44,0,0,36,45,53,65,0,42,rural,0,1,0
Colusa,85 - 89 years,19,50,40,64,60,60,0,6,6,36,6,12,0,0,113,36,120,0,30,43,18,0,72,67,67,83,6,48,rural,0,1,0
Colusa,90 - 94 years,20,30,30,62,60,60,30,6,6,36,0,12,0,0,77,36,83,0,18,36,12,0,71,62,41,65,6,36,rural,0,1,0
Colusa,95 - 99 years,21,10,20,50,40,60,0,6,0,18,0,12,0,0,50,18,49,6,12,30,6,0,46,36,36,41,0,30,rural,0,1,0
Colusa,100 years and over,22,0,0,40,20,0,0,0,0,6,0,0,0,0,24,12,24,0,0,0,0,0,24,24,6,24,0,0,rural,0,1,0
Contra Costa,Less than 1 year,1,0,0,0,265,0,0,36,42,110,36,0,12,12,61,0,264,6,0,0,265,0,0,114,151,265,0,0,urban,1,0,0
Contra Costa,1 - 4 years,2,0,0,0,60,0,0,36,30,36,12,0,0,12,30,6,36,0,0,0,36,0,0,36,36,36,0,0,urban,1,0,0
Contra Costa,5 - 9 years,3,0,0,0,60,0,0,12,12,30,6,0,0,0,30,0,36,0,0,0,36,0,0,30,36,36,0,0,urban,1,0,0
Contra Costa,10 - 14 years,4,0,0,0,60,0,0,18,18,30,12,0,6,0,36,6,36,6,0,0,36,0,0,30,36,36,0,0,urban,1,0,0
Contra Costa,15 - 19 years,5,0,0,62,116,60,0,30,36,62,30,0,6,0,49,30,176,0,0,0,188,0,0,45,134,186,12,0,urban,1,0,0
Contra Costa,20 - 24 years,6,60,10,124,76,113,20,36,77,108,36,0,12,12,98,36,287,6,0,36,315,6,6,77,253,325,18,18,urban,1,0,0
Contra Costa,25 - 29 years,7,65,50,160,62,116,10,36,90,105,36,12,12,30,126,41,344,12,24,36,343,12,0,109,277,378,12,18,urban,1,0,0
Contra Costa,30 - 34 years,8,60,60,156,71,131,20,36,82,97,36,0,6,12,169,79,335,6,36,92,301,18,6,128,291,405,12,36,urban,1,0,0
Contra Costa,35 - 39 years,9,66,50,171,83,146,30,41,108,114,30,12,6,30,197,98,382,18,49,151,274,24,6,176,307,465,24,36,urban,1,0,0
Contra Costa,40 - 44 years,10,92,63,191,100,167,50,59,132,129,36,6,6,24,250,149,457,24,105,248,244,24,24,249,361,577,18,36,urban,1,0,0
Contra Costa,45 - 49 years,11,142,62,335,149,255,60,94,194,175,36,36,18,30,436,218,725,30,193,407,327,30,30,401,553,907,30,41,urban,1,0,0
Contra Costa,50 - 54 years,12,190,108,590,203,422,60,149,256,239,36,24,24,30,830,323,1198,30,345,679,441,30,50,613,925,1420,36,99,urban,1,0,0
Contra Costa,55 - 59 years,13,313,145,870,288,654,60,196,403,352,36,36,30,36,1274,467,1814,36,563,1044,572,36,111,921,1395,2089,36,202,urban,1,0,0
Contra Costa,60 - 64 years,14,477,238,1035,305,886,71,242,502,357,47,24,36,36,1785,564,2394,46,779,1371,603,36,208,1199,1803,2633,43,318,urban,1,0,0
Contra Costa,65 - 69 years,15,703,397,1139,290,1169,77,365,619,335,59,36,36,36,2322,730,2989,45,942,1891,497,42,398,1615,2158,3040,45,678,urban,1,0,0
Contra Costa,70 - 74 years,16,755,530,1324,384,1200,72,410,511,369,41,30,30,36,2870,821,3397,36,1024,2128,358,36,713,1834,2422,3198,45,1010,urban,1,0,0
Contra Costa,75 - 79 years,17,882,605,1604,456,1217,64,498,541,411,56,30,36,36,3258,998,3778,36,969,2404,262,36,1160,2261,2556,3605,42,1172,urban,1,0,0
Contra Costa,80 - 84 years,18,1117,745,1879,716,1290,63,606,524,550,44,30,36,36,4004,1307,4455,36,849,2562,232,36,2135,2905,2894,4084,36,1687,urban,1,0,0
Contra Costa,85 - 89 years,19,1414,858,2357,880,1418,61,661,469,588,40,36,36,30,5164,1475,5464,36,773,2446,200,12,3548,3827,3144,4834,36,2120,urban,1,0,0
Contra Costa,90 - 94 years,20,1139,687,2445,946,1345,61,581,380,521,43,36,30,30,5055,1255,5334,36,525,1472,177,30,4427,4076,2532,4583,36,1995,urban,1,0,0
Contra Costa,95 - 99 years,21,531,276,1177,445,620,60,231,175,209,36,24,24,12,2423,612,2443,36,183,379,60,18,2437,2161,912,2353,30,712,urban,1,0,0
Contra Costa,100 years and over,22,111,65,289,144,139,30,53,45,42,18,6,0,0,581,143,595,12,41,42,36,6,637,580,160,653,12,80,urban,1,0,0
Del Norte,Less than 1 year,1,0,0,0,40,0,0,0,0,0,0,12,0,0,12,0,24,0,0,0,24,0,0,12,12,24,0,0,rural,0,1,0
Del Norte,1 - 4 years,2,0,0,0,20,0,0,0,0,6,0,6,0,0,0,0,12,0,0,0,12,0,0,6,6,12,0,0,rural,0,1,0
Del Norte,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
Del Norte,10 - 14 years,4,0,0,0,20,0,0,0,0,0,0,6,0,0,6,0,12,0,0,0,12,0,0,6,6,12,0,0,rural,0,1,0
Del Norte,15 - 19 years,5,0,0,20,40,0,0,0,0,12,0,12,0,0,12,6,24,0,0,0,24,0,0,12,24,24,0,0,rural,0,1,0
Del Norte,20 - 24 years,6,0,0,30,10,10,0,0,0,0,0,0,0,0,24,0,24,0,6,0,18,0,0,12,18,24,0,0,rural,0,1,0
Del Norte,25 - 29 years,7,0,0,60,30,30,10,0,6,12,6,12,0,0,36,0,36,0,12,6,36,6,0,30,30,36,0,0,rural,0,1,0
Del Norte,30 - 34 years,8,20,0,50,20,20,0,12,0,6,6,18,0,0,24,6,30,0,18,18,30,0,0,24,30,30,0,0,rural,0,1,0
Del Norte,35 - 39 years,9,0,0,60,40,30,0,0,0,18,6,24,0,0,36,12,36,0,24,24,36,0,0,24,36,36,0,6,rural,0,1,0
Del Norte,40 - 44 years,10,0,10,50,10,20,20,6,0,6,0,18,0,0,30,0,36,6,30,30,24,6,6,30,24,36,0,0,rural,0,1,0
