Year_of_Death,County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
2014,Contra Costa,15 - 19 years,5,0,0,10,18,10,0,6,6,6,6,0,0,0,13,6,28,0,0,0,30,0,0,6,20,29,6,0,urban,1,0,0
2014,Contra Costa,20 - 24 years,6,10,0,22,19,21,10,6,20,21,6,0,0,0,21,6,57,0,0,6,65,0,0,12,55,65,6,0,urban,1,0,0
2014,Contra Costa,25 - 29 years,7,10,10,27,10,12,0,6,12,6,6,0,6,6,26,6,49,0,0,6,47,6,0,14,39,51,0,6,urban,1,0,0
2014,Contra Costa,30 - 34 years,8,10,10,27,13,18,0,6,24,16,6,0,0,6,23,17,52,0,6,20,45,0,0,21,48,68,0,6,urban,1,0,0
2014,Contra Costa,35 - 39 years,9,10,0,18,11,17,0,6,16,13,0,0,0,6,20,12,43,0,6,14,35,6,0,16,39,54,0,6,urban,1,0,0
2014,Contra Costa,40 - 44 years,10,14,10,37,17,31,10,15,26,21,6,0,0,0,43,26,83,0,21,48,38,6,6,58,51,102,6,6,urban,1,0,0
2014,Contra Costa,45 - 49 years,11,16,10,58,25,50,10,19,28,30,6,6,0,6,78,42,116,6,41,69,47,0,6,68,91,150,0,6,urban,1,0,0
2014,Contra Costa,50 - 54 years,12,30,15,132,30,81,10,24,49,43,6,6,0,6,166,52,238,6,59,133,90,6,6,106,186,269,6,22,urban,1,0,0
2014,Contra Costa,55 - 59 years,13,64,27,149,44,107,10,25,75,55,6,6,6,6,232,70,324,6,102,169,103,6,18,162,235,360,6,36,urban,1,0,0
2014,Contra Costa,60 - 64 years,14,79,42,168,42,135,10,29,75,61,6,6,6,6,294,77,394,6,128,224,87,6,33,185,289,414,6,55,urban,1,0,0
2014,Contra Costa,65 - 69 years,15,98,47,195,34,190,10,41,82,40,6,6,6,6,393,103,465,6,155,293,69,6,55,268,306,432,6,136,urban,1,0,0
2014,Contra Costa,70 - 74 years,16,110,63,193,55,188,10,52,79,46,6,6,6,6,424,114,494,6,146,302,45,6,118,260,353,466,6,143,urban,1,0,0
2014,Contra Costa,75 - 79 years,17,140,83,257,75,183,10,65,90,62,6,6,6,6,517,148,591,6,149,354,37,6,205,379,367,553,6,188,urban,1,0,0
2014,Contra Costa,80 - 84 years,18,172,98,325,123,222,10,85,87,67,6,6,6,6,690,176,765,6,127,406,40,6,369,466,481,619,6,322,urban,1,0,0
2014,Contra Costa,85 - 89 years,19,211,118,401,157,205,10,87,65,83,6,6,6,6,851,198,897,6,114,377,35,6,572,626,474,752,6,345,urban,1,0,0
2014,Contra Costa,90 - 94 years,20,186,103,399,157,230,10,86,63,67,6,6,6,6,857,172,904,6,72,250,25,6,734,694,389,745,6,331,urban,1,0,0
2014,Contra Costa,95 - 99 years,21,68,41,165,67,62,10,30,16,34,6,6,6,0,324,87,316,6,27,51,6,6,319,283,124,325,6,79,urban,1,0,0
2014,Contra Costa,100 years and over,22,14,10,46,26,15,10,6,6,6,0,0,0,0,85,28,81,0,6,6,6,0,98,84,25,101,6,6,urban,1,0,0
2014,Del Norte,Less than 1 year,1,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2014,Del Norte,1 - 4 years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Del Norte,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Del Norte,10 - 14 years,4,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2014,Del Norte,15 - 19 years,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Del Norte,20 - 24 years,6,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,6,6,0,0,rural,0,1,0
