Year_of_Death,County_of_Residence,Age,Education_level,Total_Deaths_Education,age_cat,education_cat,Description
2014,Amador,10 - 14 years,Graduate Degree,0,4,2,rural
2014,Amador,15 - 19 years,High School Graduate or GED Completed,0,5,3,rural
2014,Amador,15 - 19 years,"Some College Credit, No 4-Year Degree",0,5,5,rural
2014,Amador,15 - 19 years,Less than High School,0,5,4,rural
2014,Amador,15 - 19 years,Unknown,0,5,6,rural
2014,Amador,15 - 19 years,Graduate Degree,0,5,2,rural
2014,Amador,15 - 19 years,Bachelor's Degree,0,5,1,rural
2014,Amador,20 - 24 years,Graduate Degree,0,6,2,rural
2014,Amador,20 - 24 years,Unknown,0,6,6,rural
2014,Amador,20 - 24 years,Less than High School,0,6,4,rural
2014,Amador,20 - 24 years,"Some College Credit, No 4-Year Degree",0,6,5,rural
2014,Amador,20 - 24 years,Bachelor's Degree,0,6,1,rural
2014,Amador,20 - 24 years,High School Graduate or GED Completed,10,6,3,rural
2014,Amador,25 - 29 years,Graduate Degree,0,7,2,rural
2014,Amador,25 - 29 years,Bachelor's Degree,0,7,1,rural
2014,Amador,25 - 29 years,"Some College Credit, No 4-Year Degree",10,7,5,rural
2014,Amador,25 - 29 years,Unknown,0,7,6,rural
2014,Amador,25 - 29 years,High School Graduate or GED Completed,10,7,3,rural
2014,Amador,25 - 29 years,Less than High School,10,7,4,rural
2014,Amador,30 - 34 years,Less than High School,0,8,4,rural
2014,Amador,30 - 34 years,Bachelor's Degree,0,8,1,rural
2014,Amador,30 - 34 years,"Some College Credit, No 4-Year Degree",10,8,5,rural
2014,Amador,30 - 34 years,High School Graduate or GED Completed,10,8,3,rural
2014,Amador,30 - 34 years,Unknown,0,8,6,rural
2014,Amador,30 - 34 years,Graduate Degree,0,8,2,rural
2014,Amador,35 - 39 years,High School Graduate or GED Completed,10,9,3,rural
2014,Amador,35 - 39 years,"Some College Credit, No 4-Year Degree",10,9,5,rural
2014,Amador,35 - 39 years,Bachelor's Degree,0,9,1,rural
2014,Amador,35 - 39 years,Less than High School,0,9,4,rural
