Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran
2021,El Dorado,20 - 24 years,Unknown,0
2021,El Dorado,20 - 24 years,Yes,0
2021,El Dorado,25 - 29 years,No,6
2021,El Dorado,25 - 29 years,Unknown,0
2021,El Dorado,25 - 29 years,Yes,0
2021,El Dorado,30 - 34 years,No,6
2021,El Dorado,30 - 34 years,Unknown,0
2021,El Dorado,30 - 34 years,Yes,0
2021,El Dorado,35 - 39 years,No,6
2021,El Dorado,35 - 39 years,Unknown,0
2021,El Dorado,35 - 39 years,Yes,0
2021,El Dorado,40 - 44 years,No,6
2021,El Dorado,40 - 44 years,Unknown,0
2021,El Dorado,40 - 44 years,Yes,6
2021,El Dorado,45 - 49 years,No,6
2021,El Dorado,45 - 49 years,Unknown,0
2021,El Dorado,45 - 49 years,Yes,6
2021,El Dorado,50 - 54 years,No,6
2021,El Dorado,50 - 54 years,Unknown,0
2021,El Dorado,50 - 54 years,Yes,0
2021,El Dorado,55 - 59 years,No,22
2021,El Dorado,55 - 59 years,Unknown,0
2021,El Dorado,55 - 59 years,Yes,6
2021,El Dorado,60 - 64 years,No,36
2021,El Dorado,60 - 64 years,Unknown,6
2021,El Dorado,60 - 64 years,Yes,6
2021,El Dorado,65 - 69 years,No,46
2021,El Dorado,65 - 69 years,Unknown,6
2021,El Dorado,65 - 69 years,Yes,6
2021,El Dorado,70 - 74 years,No,49
2021,El Dorado,70 - 74 years,Unknown,0
2021,El Dorado,70 - 74 years,Yes,6
2021,El Dorado,75 - 79 years,No,61
2021,El Dorado,75 - 79 years,Unknown,0
2021,El Dorado,75 - 79 years,Yes,23
2021,El Dorado,80 - 84 years,No,59
2021,El Dorado,80 - 84 years,Unknown,0
2021,El Dorado,80 - 84 years,Yes,18
2021,El Dorado,85 - 89 years,No,52
2021,El Dorado,85 - 89 years,Unknown,6
2021,El Dorado,85 - 89 years,Yes,29
2021,El Dorado,90 - 94 years,No,49
2021,El Dorado,90 - 94 years,Unknown,0
2021,El Dorado,90 - 94 years,Yes,23
