Year_of_Death,County_of_Residence,Age,Total_Deaths
2021,Mendocino,90 - 94 years,38
2021,Mendocino,95 - 99 years,20
2021,Mendocino,100 years and over,11
2021,Merced,Less than 1 year,6
2021,Merced,1 - 4 years,6
2021,Merced,5 - 9 years,6
2021,Merced,10 - 14 years,6
2021,Merced,15 - 19 years,6
2021,Merced,20 - 24 years,11
2021,Merced,25 - 29 years,6
2021,Merced,30 - 34 years,18
2021,Merced,35 - 39 years,18
2021,Merced,40 - 44 years,12
2021,Merced,45 - 49 years,20
2021,Merced,50 - 54 years,39
2021,Merced,55 - 59 years,59
2021,Merced,60 - 64 years,73
2021,Merced,65 - 69 years,83
2021,Merced,70 - 74 years,89
2021,Merced,75 - 79 years,93
2021,Merced,80 - 84 years,98
2021,Merced,85 - 89 years,91
2021,Merced,90 - 94 years,58
2021,Merced,95 - 99 years,16
2021,Merced,100 years and over,6
2021,Modoc,Less than 1 year,0
2021,Modoc,1 - 4 years,0
2021,Modoc,5 - 9 years,0
2021,Modoc,10 - 14 years,0
2021,Modoc,15 - 19 years,0
2021,Modoc,20 - 24 years,0
2021,Modoc,25 - 29 years,0
2021,Modoc,30 - 34 years,6
2021,Modoc,35 - 39 years,6
2021,Modoc,40 - 44 years,6
2021,Modoc,45 - 49 years,0
2021,Modoc,50 - 54 years,6
2021,Modoc,55 - 59 years,6
2021,Modoc,60 - 64 years,6
2021,Modoc,65 - 69 years,6
2021,Modoc,70 - 74 years,6
2021,Modoc,75 - 79 years,6
2021,Modoc,80 - 84 years,6
2021,Modoc,85 - 89 years,6
2021,Modoc,90 - 94 years,6
2021,Modoc,95 - 99 years,6
2021,Modoc,100 years and over,6
2021,Mono,Less than 1 year,0
2021,Mono,1 - 4 years,0
2021,Mono,5 - 9 years,0
2021,Mono,10 - 14 years,0
2021,Mono,15 - 19 years,0
2021,Mono,20 - 24 years,0
2021,Mono,25 - 29 years,0
2021,Mono,30 - 34 years,0
2021,Mono,35 - 39 years,6
2021,Mono,40 - 44 years,6
2021,Mono,45 - 49 years,0
2021,Mono,50 - 54 years,6
2021,Mono,55 - 59 years,6
2021,Mono,60 - 64 years,0
2021,Mono,65 - 69 years,6
2021,Mono,70 - 74 years,0
2021,Mono,75 - 79 years,0
2021,Mono,80 - 84 years,0
2021,Mono,85 - 89 years,6
2021,Mono,90 - 94 years,6
2021,Mono,95 - 99 years,0
2021,Mono,100 years and over,0
2021,Monterey,Less than 1 year,6
2021,Monterey,1 - 4 years,6
2021,Monterey,5 - 9 years,0
2021,Monterey,10 - 14 years,0
2021,Monterey,15 - 19 years,6
2021,Monterey,20 - 24 years,6
2021,Monterey,25 - 29 years,16
2021,Monterey,30 - 34 years,18
2021,Monterey,35 - 39 years,16
2021,Monterey,40 - 44 years,23
2021,Monterey,45 - 49 years,32
2021,Monterey,50 - 54 years,50
2021,Monterey,55 - 59 years,72
2021,Monterey,60 - 64 years,92
2021,Monterey,65 - 69 years,103
2021,Monterey,70 - 74 years,130
2021,Monterey,75 - 79 years,124
2021,Monterey,80 - 84 years,136
2021,Monterey,85 - 89 years,157
2021,Monterey,90 - 94 years,160
2021,Monterey,95 - 99 years,77
2021,Monterey,100 years and over,29
2021,Napa,Less than 1 year,6
2021,Napa,1 - 4 years,0
2021,Napa,5 - 9 years,6
2021,Napa,10 - 14 years,0
2021,Napa,15 - 19 years,6
2021,Napa,20 - 24 years,6
2021,Napa,25 - 29 years,6
2021,Napa,30 - 34 years,6
2021,Napa,35 - 39 years,6
2021,Napa,40 - 44 years,6
2021,Napa,45 - 49 years,6
2021,Napa,50 - 54 years,6
2021,Napa,55 - 59 years,20
2021,Napa,60 - 64 years,25
2021,Napa,65 - 69 years,45
2021,Napa,70 - 74 years,46
2021,Napa,75 - 79 years,59
2021,Napa,80 - 84 years,52
2021,Napa,85 - 89 years,66
2021,Napa,90 - 94 years,73
2021,Napa,95 - 99 years,37
2021,Napa,100 years and over,6
2021,Nevada,Less than 1 year,0
2021,Nevada,1 - 4 years,6
2021,Nevada,5 - 9 years,0
2021,Nevada,10 - 14 years,0
2021,Nevada,15 - 19 years,6
2021,Nevada,20 - 24 years,0
2021,Nevada,25 - 29 years,6
2021,Nevada,30 - 34 years,6
2021,Nevada,35 - 39 years,6
2021,Nevada,40 - 44 years,6
2021,Nevada,45 - 49 years,6
2021,Nevada,50 - 54 years,14
2021,Nevada,55 - 59 years,12
2021,Nevada,60 - 64 years,18
2021,Nevada,65 - 69 years,40
2021,Nevada,70 - 74 years,50
2021,Nevada,75 - 79 years,40
2021,Nevada,80 - 84 years,44
2021,Nevada,85 - 89 years,61
2021,Nevada,90 - 94 years,58
2021,Nevada,95 - 99 years,20
2021,Nevada,100 years and over,6
2021,Orange,Less than 1 year,41
2021,Orange,1 - 4 years,6
2021,Orange,5 - 9 years,6
2021,Orange,10 - 14 years,6
2021,Orange,15 - 19 years,27
2021,Orange,20 - 24 years,65
2021,Orange,25 - 29 years,85
2021,Orange,30 - 34 years,105
2021,Orange,35 - 39 years,138
2021,Orange,40 - 44 years,147
2021,Orange,45 - 49 years,191
2021,Orange,50 - 54 years,349
2021,Orange,55 - 59 years,478
2021,Orange,60 - 64 years,745
2021,Orange,65 - 69 years,769
2021,Orange,70 - 74 years,992
2021,Orange,75 - 79 years,1111
2021,Orange,80 - 84 years,1304
2021,Orange,85 - 89 years,1460
2021,Orange,90 - 94 years,1251
2021,Orange,95 - 99 years,600
2021,Orange,100 years and over,123
2021,Placer,Less than 1 year,6
2021,Placer,1 - 4 years,0
2021,Placer,5 - 9 years,0
2021,Placer,10 - 14 years,0
2021,Placer,15 - 19 years,6
2021,Placer,20 - 24 years,6
2021,Placer,25 - 29 years,6
2021,Placer,30 - 34 years,6
2021,Placer,35 - 39 years,12
2021,Placer,40 - 44 years,6
2021,Placer,45 - 49 years,16
2021,Placer,50 - 54 years,27
2021,Placer,55 - 59 years,45
2021,Placer,60 - 64 years,73
2021,Placer,65 - 69 years,90
2021,Placer,70 - 74 years,132
2021,Placer,75 - 79 years,143
2021,Placer,80 - 84 years,196
2021,Placer,85 - 89 years,198
2021,Placer,90 - 94 years,200
2021,Placer,95 - 99 years,85
2021,Placer,100 years and over,19
2021,Plumas,Less than 1 year,0
2021,Plumas,1 - 4 years,6
2021,Plumas,5 - 9 years,0
2021,Plumas,10 - 14 years,0
2021,Plumas,15 - 19 years,0
2021,Plumas,20 - 24 years,0
2021,Plumas,25 - 29 years,0
2021,Plumas,30 - 34 years,6
2021,Plumas,35 - 39 years,6
2021,Plumas,40 - 44 years,0
2021,Plumas,45 - 49 years,0
2021,Plumas,50 - 54 years,6
2021,Plumas,55 - 59 years,6
2021,Plumas,60 - 64 years,6
2021,Plumas,65 - 69 years,6
2021,Plumas,70 - 74 years,6
2021,Plumas,75 - 79 years,6
2021,Plumas,80 - 84 years,6
2021,Plumas,85 - 89 years,6
2021,Plumas,90 - 94 years,6
2021,Plumas,95 - 99 years,0
2021,Plumas,100 years and over,6
2021,Riverside,Less than 1 year,41
2021,Riverside,1 - 4 years,6
2021,Riverside,5 - 9 years,6
2021,Riverside,10 - 14 years,6
2021,Riverside,15 - 19 years,39
2021,Riverside,20 - 24 years,64
2021,Riverside,25 - 29 years,74
2021,Riverside,30 - 34 years,91
2021,Riverside,35 - 39 years,145
2021,Riverside,40 - 44 years,172
2021,Riverside,45 - 49 years,241
2021,Riverside,50 - 54 years,327
2021,Riverside,55 - 59 years,526
2021,Riverside,60 - 64 years,719
2021,Riverside,65 - 69 years,875
2021,Riverside,70 - 74 years,1025
