Year_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths_marital
2021,Calaveras,40 - 44 years,Widowed,0
2021,Calaveras,40 - 44 years,Divorced,0
2021,Calaveras,40 - 44 years,Never Married,0
2021,Calaveras,40 - 44 years,Unknown,0
2021,Calaveras,45 - 49 years,Married (including SRDP),0
2021,Calaveras,45 - 49 years,Widowed,0
2021,Calaveras,45 - 49 years,Divorced,6
2021,Calaveras,45 - 49 years,Never Married,6
2021,Calaveras,45 - 49 years,Unknown,0
2021,Calaveras,50 - 54 years,Married (including SRDP),6
2021,Calaveras,50 - 54 years,Widowed,0
2021,Calaveras,50 - 54 years,Divorced,6
2021,Calaveras,50 - 54 years,Never Married,6
2021,Calaveras,50 - 54 years,Unknown,0
2021,Calaveras,55 - 59 years,Married (including SRDP),6
2021,Calaveras,55 - 59 years,Widowed,6
2021,Calaveras,55 - 59 years,Divorced,6
2021,Calaveras,55 - 59 years,Never Married,0
2021,Calaveras,55 - 59 years,Unknown,0
2021,Calaveras,60 - 64 years,Married (including SRDP),6
2021,Calaveras,60 - 64 years,Widowed,0
2021,Calaveras,60 - 64 years,Divorced,6
2021,Calaveras,60 - 64 years,Never Married,6
2021,Calaveras,60 - 64 years,Unknown,6
2021,Calaveras,65 - 69 years,Married (including SRDP),6
2021,Calaveras,65 - 69 years,Widowed,6
2021,Calaveras,65 - 69 years,Divorced,6
2021,Calaveras,65 - 69 years,Never Married,6
2021,Calaveras,65 - 69 years,Unknown,6
2021,Calaveras,70 - 74 years,Married (including SRDP),14
2021,Calaveras,70 - 74 years,Widowed,6
2021,Calaveras,70 - 74 years,Divorced,6
2021,Calaveras,70 - 74 years,Never Married,0
2021,Calaveras,70 - 74 years,Unknown,6
2021,Calaveras,75 - 79 years,Married (including SRDP),20
2021,Calaveras,75 - 79 years,Widowed,6
2021,Calaveras,75 - 79 years,Divorced,6
2021,Calaveras,75 - 79 years,Never Married,0
2021,Calaveras,75 - 79 years,Unknown,0
2021,Calaveras,80 - 84 years,Married (including SRDP),16
2021,Calaveras,80 - 84 years,Widowed,6
2021,Calaveras,80 - 84 years,Divorced,6
2021,Calaveras,80 - 84 years,Never Married,6
2021,Calaveras,80 - 84 years,Unknown,0
2021,Calaveras,85 - 89 years,Married (including SRDP),6
2021,Calaveras,85 - 89 years,Widowed,12
2021,Calaveras,85 - 89 years,Divorced,6
