Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex
2021,Imperial,30 - 34 years,Female,6
2021,Imperial,30 - 34 years,Male,6
2021,Imperial,35 - 39 years,Female,6
2021,Imperial,35 - 39 years,Male,6
2021,Imperial,40 - 44 years,Female,6
2021,Imperial,40 - 44 years,Male,12
2021,Imperial,45 - 49 years,Female,6
2021,Imperial,45 - 49 years,Male,12
2021,Imperial,50 - 54 years,Female,6
2021,Imperial,50 - 54 years,Male,13
2021,Imperial,55 - 59 years,Female,11
2021,Imperial,55 - 59 years,Male,38
2021,Imperial,60 - 64 years,Female,17
2021,Imperial,60 - 64 years,Male,33
2021,Imperial,65 - 69 years,Female,25
2021,Imperial,65 - 69 years,Male,36
2021,Imperial,70 - 74 years,Female,31
2021,Imperial,70 - 74 years,Male,48
2021,Imperial,75 - 79 years,Female,29
2021,Imperial,75 - 79 years,Male,34
2021,Imperial,80 - 84 years,Female,42
2021,Imperial,80 - 84 years,Male,43
2021,Imperial,85 - 89 years,Female,32
2021,Imperial,85 - 89 years,Male,40
2021,Imperial,90 - 94 years,Female,27
2021,Imperial,90 - 94 years,Male,23
2021,Imperial,95 - 99 years,Female,12
2021,Imperial,95 - 99 years,Male,6
2021,Imperial,100 years and over,Female,6
2021,Imperial,100 years and over,Male,6
2021,Inyo,Less than 1 year,Female,0
2021,Inyo,Less than 1 year,Male,6
2021,Inyo,1 - 4 years,Female,0
2021,Inyo,1 - 4 years,Male,0
2021,Inyo,5 - 9 years,Female,0
2021,Inyo,5 - 9 years,Male,0
2021,Inyo,10 - 14 years,Female,0
2021,Inyo,10 - 14 years,Male,0
2021,Inyo,15 - 19 years,Female,0
2021,Inyo,15 - 19 years,Male,0
2021,Inyo,20 - 24 years,Female,0
2021,Inyo,20 - 24 years,Male,0
2021,Inyo,25 - 29 years,Female,0
2021,Inyo,25 - 29 years,Male,0
2021,Inyo,30 - 34 years,Female,6
2021,Inyo,30 - 34 years,Male,0
2021,Inyo,35 - 39 years,Female,0
2021,Inyo,35 - 39 years,Male,6
2021,Inyo,40 - 44 years,Female,0
2021,Inyo,40 - 44 years,Male,0
2021,Inyo,45 - 49 years,Female,0
2021,Inyo,45 - 49 years,Male,6
2021,Inyo,50 - 54 years,Female,0
2021,Inyo,50 - 54 years,Male,6
2021,Inyo,55 - 59 years,Female,0
2021,Inyo,55 - 59 years,Male,6
2021,Inyo,60 - 64 years,Female,6
2021,Inyo,60 - 64 years,Male,6
2021,Inyo,65 - 69 years,Female,6
2021,Inyo,65 - 69 years,Male,6
2021,Inyo,70 - 74 years,Female,6
2021,Inyo,70 - 74 years,Male,6
2021,Inyo,75 - 79 years,Female,6
2021,Inyo,75 - 79 years,Male,6
2021,Inyo,80 - 84 years,Female,6
2021,Inyo,80 - 84 years,Male,6
2021,Inyo,85 - 89 years,Female,6
2021,Inyo,85 - 89 years,Male,6
2021,Inyo,90 - 94 years,Female,6
2021,Inyo,90 - 94 years,Male,6
2021,Inyo,95 - 99 years,Female,6
2021,Inyo,95 - 99 years,Male,0
2021,Inyo,100 years and over,Female,6
2021,Inyo,100 years and over,Male,0
2021,Kern,Less than 1 year,Female,11
2021,Kern,Less than 1 year,Male,6
2021,Kern,1 - 4 years,Female,0
2021,Kern,1 - 4 years,Male,6
2021,Kern,5 - 9 years,Female,6
2021,Kern,5 - 9 years,Male,6
2021,Kern,10 - 14 years,Female,0
2021,Kern,10 - 14 years,Male,6
2021,Kern,15 - 19 years,Female,6
2021,Kern,15 - 19 years,Male,16
2021,Kern,20 - 24 years,Female,6
2021,Kern,20 - 24 years,Male,27
2021,Kern,25 - 29 years,Female,6
2021,Kern,25 - 29 years,Male,33
2021,Kern,30 - 34 years,Female,20
2021,Kern,30 - 34 years,Male,40
2021,Kern,35 - 39 years,Female,17
2021,Kern,35 - 39 years,Male,37
2021,Kern,40 - 44 years,Female,30
2021,Kern,40 - 44 years,Male,61
2021,Kern,45 - 49 years,Female,32
2021,Kern,45 - 49 years,Male,67
2021,Kern,50 - 54 years,Female,43
2021,Kern,50 - 54 years,Male,94
2021,Kern,55 - 59 years,Female,56
2021,Kern,55 - 59 years,Male,125
2021,Kern,60 - 64 years,Female,111
2021,Kern,60 - 64 years,Male,192
2021,Kern,65 - 69 years,Female,99
2021,Kern,65 - 69 years,Male,199
2021,Kern,70 - 74 years,Female,141
2021,Kern,70 - 74 years,Male,205
2021,Kern,75 - 79 years,Female,154
2021,Kern,75 - 79 years,Male,173
2021,Kern,80 - 84 years,Female,163
2021,Kern,80 - 84 years,Male,150
2021,Kern,85 - 89 years,Female,139
2021,Kern,85 - 89 years,Male,146
